Model,Accuracy,Precision,Recall,F1 Score,CV Mean Score
LogisticRegression,0.7180416666666667,0.7113494809688581,0.798368932038835,0.7523513266239708,0.7497499061798212
Random Forest  ,0.712125,0.7137125662702393,0.773747572815534,0.7425185406029888,0.7408227382584687
Gradient Boosting ,0.7237083333333333,0.7123809523809523,0.8133592233009709,0.7595285584768813,0.7567322928805673
